Cannibal,collective,NormalLobsters,CannibalCount,CollectiveCount,NormalLobstersCount 
5,117,131,0,0,0
238,0,0,1,0,0
222,0,0,2,0,0
242,0,0,3,0,0
226,0,0,4,0,0
266,0,0,5,0,0
234,0,0,6,0,0
261,0,0,7,0,0
226,0,0,8,0,0
229,0,0,9,0,0
242,0,0,10,0,0
274,0,0,11,0,0
232,0,0,12,0,0
220,0,0,13,0,0
232,0,0,14,0,0
236,0,0,15,0,0
230,0,0,16,0,0
240,0,0,17,0,0
224,0,0,18,0,0
242,0,0,19,0,0
309,0,0,20,0,0
206,0,0,21,0,0
235,0,0,22,0,0
219,0,0,23,0,0
235,0,0,24,0,0
239,0,0,25,0,0
243,0,0,26,0,0
0,106,102,26,1,1
237,0,0,27,1,1
249,0,0,28,1,1
244,0,0,29,1,1
225,0,0,30,1,1
260,0,0,31,1,1
257,0,0,32,1,1
235,0,0,33,1,1
230,0,0,34,1,1
257,0,0,35,1,1
235,0,0,36,1,1
233,0,0,37,1,1
242,0,0,38,1,1
252,0,0,39,1,1
274,0,0,40,1,1
219,0,0,41,1,1
239,0,0,42,1,1
260,0,0,43,1,1
251,0,0,44,1,1
222,0,0,45,1,1
233,0,0,46,1,1
232,0,0,47,1,1
269,0,0,48,1,1
233,0,0,49,1,1
267,0,0,50,1,1
227,0,0,51,1,1
257,0,0,52,1,1
223,0,0,53,1,1
248,0,0,54,1,1
248,0,0,55,1,1
235,0,0,56,1,1
246,0,0,57,1,1
250,0,0,58,1,1
245,0,0,59,1,1
249,0,0,60,1,1
236,0,0,61,1,1
244,0,0,62,1,1
233,0,0,63,1,1
289,0,0,64,1,1
234,0,0,65,1,1
257,0,0,66,1,1
272,0,0,67,1,1
237,0,0,68,1,1
252,0,0,69,1,1
222,0,0,70,1,1
272,0,0,71,1,1
245,0,0,72,1,1
0,114,125,72,2,2
210,0,0,73,2,2
237,0,0,74,2,2
235,0,0,75,2,2
230,0,0,76,2,2
0,78,81,76,3,3
239,0,0,77,3,3
226,0,0,78,3,3
264,0,0,79,3,3
236,0,0,80,3,3
254,0,0,81,3,3
276,0,0,82,3,3
264,0,0,83,3,3
248,0,0,84,3,3
230,0,0,85,3,3
249,0,0,86,3,3
214,0,0,87,3,3
286,0,0,88,3,3
255,0,1,89,3,4
245,0,0,90,3,4
246,0,0,91,3,4
222,0,0,92,3,4
279,0,0,93,3,4
237,0,0,94,3,4
225,0,0,95,3,4
244,0,0,96,3,4
256,0,0,97,3,4
209,0,0,98,3,4
250,0,0,99,3,4
212,0,0,100,3,4
243,0,0,101,3,4
210,0,0,102,3,4
286,0,0,103,3,4
243,0,0,104,3,4
232,0,0,105,3,4
245,0,0,106,3,4
225,0,0,107,3,4
232,0,0,108,3,4
272,0,0,109,3,4
256,0,0,110,3,4
241,0,0,111,3,4
0,105,100,111,4,5
0,103,113,111,5,6
207,0,0,112,5,6
